Stroma; POLYGON; 128, 128, 128; 297,132;299,132;300,132;301,132;303,132;306,132;308,133;312,136;315,137;319,139;323,142;329,145;335,149;341,152;347,156;352,159;357,161;361,165;365,168;369,171;373,174;378,177;382,180;387,183;392,184;396,186;401,188;401,189;403,190;405,191;408,194;411,197;416,200;419,203;423,205;425,207;429,209;433,210;437,212;441,214;444,214;447,216;452,219;458,222;465,225;473,228;481,230;488,232;496,235;501,237;507,239;513,241;517,243;522,245;525,246;528,248;532,249;532,251;537,252;539,252;540,253;541,253;542,254;545,255;547,256;552,259;553,259;554,260;557,261;558,262;559,264;560,265;561,266;562,266;564,266;565,267;567,267;569,268;570,269;573,269;574,270;576,271;578,272;581,273;582,273;583,274;584,275;586,275;588,277;590,278;590,279;591,279;592,280;593,281;593,282;594,283;595,284;597,286;599,288;600,288;602,290;603,291;606,294;608,295;612,298;615,299;617,302;620,303;624,306;628,309;633,311;638,314;643,317;648,320;653,323;659,326;665,329;672,332;679,334;685,337;690,339;696,342;702,343;708,345;712,347;717,348;723,350;728,352;734,354;740,356;744,357;749,358;753,360;758,361;762,363;765,364;768,365;772,367;774,368;777,370;781,373;783,375;784,376;787,381;788,383;791,385;795,389;795,390;798,392;800,394;803,397;805,398;806,400;808,403;809,404;811,406;811,409;813,411;814,414;817,417;818,418;818,420;818,422;820,424;821,426;821,429;822,433;824,439;825,445;827,449;828,454;829,458;829,459;829,461;830,463;831,465;832,467;832,469;832,470;832,473;832,475;832,478;832,480;832,481;831,482;830,483;826,487;825,487;821,489;817,491;814,492;809,493;806,494;801,495;794,496;787,497;780,498;773,499;766,499;758,499;750,499;742,499;734,499;728,499;722,499;717,499;711,499;706,499;700,499;694,499;687,499;680,499;675,500;669,501;663,502;658,503;652,504;645,505;637,506;629,507;620,508;610,509;601,510;593,510;586,511;579,512;572,512;565,513;559,513;550,513;542,513;534,513;526,513;518,513;510,513;502,513;495,514;489,515;480,516;472,516;463,516;452,516;441,516;429,516;417,515;405,515;394,515;385,515;375,514;367,514;359,513;350,512;340,509;330,507;320,506;309,505;298,504;289,503;279,502;271,502;265,502;259,502;254,502;248,502;243,502;237,502;232,502;225,502;220,501;213,500;207,500;202,500;198,500;194,500;190,500;185,500;180,500;175,500;170,499;165,498;159,498;155,498;151,497;150,497;147,497;145,497;143,497;141,497;137,497;135,497;132,497;128,495;126,495;122,493;118,492;114,490;112,489;108,485;104,482;102,480;100,478;96,475;91,471;87,468;83,464;78,460;76,458;75,456;72,454;71,452;70,449;68,445;65,440;64,437;61,433;59,430;57,426;55,423;54,422;51,418;51,416;50,414;47,410;45,406;42,401;40,396;38,392;37,389;37,386;36,383;35,380;35,375;35,371;35,367;35,363;35,359;35,355;35,349;35,345;35,340;35,334;36,329;37,325;38,320;40,316;41,312;43,308;46,303;49,298;51,294;54,290;57,287;59,283;62,280;64,276;67,273;68,272;71,271;74,269;77,267;82,264;84,261;87,258;88,257;90,254;93,253;95,253;98,251;99,251;103,249;104,248;107,247;110,246;111,244;112,244;115,243;117,242;120,241;122,241;126,240;129,240;133,237;138,237;139,237;141,236;142,236;145,235;146,235;148,234;149,234;150,233;152,233;155,233;158,231;160,231;163,230;165,230;167,229;169,229;170,229;171,229;173,227;174,226;175,224;176,223;178,222;181,220;182,220;184,217;185,217;186,216;186,214;186,213;187,211;188,209;188,206;188,203;189,201;189,197;189,195;189,194;189,191;189,189;189,187;189,184;189,182;189,178;188,176;186,174;185,172;185,171;185,170;184,168;184,167;184,166;183,165;182,165;180,163;180,161;180,160;180,159;180,158;180,157;180,154;183,153;184,152;186,150;187,150;190,148;191,147;192,147;196,145;197,145;200,144;201,144;204,144;208,143;210,143;213,143;215,143;218,143;220,143;221,143;223,143;224,143;226,143;227,143;229,143;232,142;235,141;238,141;239,141;241,141;244,141;245,141;248,140;250,139;251,139;254,138;255,138;256,138;257,138;259,138;261,136;262,136;265,136;266,136;268,134;270,134;271,134;273,133;274,133;275,133;276,133;278,132;279,132;280,132;281,132;282,131;283,131;285,131;286,131;289,131;290,131;292,131;293,131;294,131;297,131;299,132;301,132;303,132;304,132;305,132;306,132;306,133;309,134;312,134;
Specular reflection; POLYGON; 191, 91, 22; 487,118;486,118;485,120;484,120;484,121;483,123;480,123;478,124;477,125;476,126;475,127;474,128;473,130;471,132;471,135;470,136;468,137;467,137;466,139;465,140;465,142;464,143;464,144;464,145;464,146;464,148;464,149;464,150;464,151;465,151;465,152;466,154;470,156;474,157;479,159;483,162;485,163;487,163;488,164;488,165;489,165;489,166;490,167;491,168;491,169;491,170;491,171;492,172;492,173;493,175;496,177;497,179;498,180;500,181;501,182;502,183;504,185;507,186;508,187;509,188;509,189;510,192;511,193;514,195;517,196;522,199;526,202;528,202;529,202;530,204;531,204;533,205;535,206;537,207;539,207;539,208;540,209;541,209;542,210;544,211;545,212;546,214;548,215;549,215;549,216;551,217;553,218;555,218;556,218;558,218;559,219;560,220;561,220;562,221;566,222;569,223;570,224;571,224;571,225;573,225;575,226;576,227;577,227;579,228;582,229;583,229;588,231;589,232;591,233;592,234;593,234;595,236;596,237;597,238;599,239;602,241;604,242;607,244;608,244;608,245;609,245;610,245;611,246;612,247;614,248;616,250;617,251;618,251;619,252;620,253;622,254;623,256;625,257;626,259;627,259;629,259;631,262;632,262;633,263;634,264;635,264;636,265;638,266;640,267;642,268;643,269;644,270;645,270;646,271;647,271;648,272;649,272;649,273;649,274;651,275;652,276;653,277;654,277;655,278;656,279;658,280;659,280;659,281;660,281;661,281;663,282;665,282;666,283;667,283;669,283;671,283;674,283;676,283;679,284;680,283;681,283;681,281;681,279;682,277;682,276;682,275;682,274;682,272;682,271;682,270;682,268;682,266;682,265;682,263;682,262;682,261;682,260;682,259;682,258;682,257;681,256;681,255;680,253;679,252;678,250;677,250;676,247;674,246;674,245;673,244;672,243;671,243;671,241;668,238;666,236;665,234;663,233;661,232;660,231;660,230;659,230;658,229;656,227;654,226;652,225;651,224;648,223;647,223;647,222;646,221;646,220;645,220;645,219;643,218;642,216;641,214;639,213;638,212;637,212;636,211;635,211;634,211;632,211;631,211;629,210;628,210;626,210;625,210;624,210;623,210;622,210;620,208;618,207;616,206;615,206;613,206;612,206;611,206;610,204;609,202;608,202;607,201;605,200;603,199;602,198;602,196;599,194;598,193;596,192;593,191;593,190;591,190;590,189;588,188;586,188;584,187;581,185;579,185;578,184;576,183;575,183;573,182;572,182;572,181;571,180;569,179;567,177;566,176;565,175;564,175;563,174;561,172;560,171;560,170;559,170;559,169;558,169;558,168;557,167;556,165;555,165;553,165;552,164;551,163;550,162;549,161;549,160;548,157;548,156;548,155;548,153;548,151;548,150;547,149;545,147;545,146;545,145;545,144;544,144;544,143;544,142;544,140;543,139;541,139;540,136;539,136;537,135;536,133;535,133;534,132;533,131;533,130;532,130;530,130;529,130;527,128;526,128;525,128;523,127;522,127;521,127;518,127;516,127;514,127;513,126;512,126;511,126;511,125;510,124;508,123;507,123;505,122;503,121;502,120;500,120;499,120;498,118;497,118;495,118;493,117;492,117;491,117;489,117;487,117;486,117;485,118;484,118;483,119;482,120;
Specular reflection; POLYGON; 191, 91, 22; 274,111;273,111;273,112;272,112;272,113;271,113;270,113;269,113;268,113;266,114;264,116;262,116;261,116;259,116;256,116;253,116;251,116;249,116;248,116;247,116;245,115;243,113;241,113;240,112;239,110;238,109;237,109;236,108;236,106;235,105;235,104;235,103;235,102;235,101;235,100;235,99;235,98;235,97;235,96;234,94;234,93;234,92;234,91;234,90;234,89;234,88;235,86;235,85;237,85;237,84;238,83;239,83;240,83;242,83;243,83;246,83;248,83;249,83;250,83;252,83;253,83;255,83;258,83;259,83;260,83;261,84;262,85;263,87;264,87;265,87;267,88;268,88;269,88;271,89;272,90;273,90;273,92;275,92;276,94;277,95;278,96;278,97;280,98;281,99;281,100;282,101;282,102;283,102;283,104;283,105;283,106;283,107;283,108;283,109;283,112;283,113;282,114;282,115;282,117;281,117;279,119;278,119;276,119;275,119;273,119;271,119;270,119;268,119;267,119;266,119;265,119;264,119;263,119;262,119;260,116;259,116;259,115;257,115;256,115;
Specular reflection; POLYGON; 191, 91, 22; 160,184;160,185;159,186;157,187;157,188;155,190;155,191;155,192;154,193;153,193;152,194;152,196;152,197;151,197;151,198;150,198;150,199;150,201;149,203;148,204;148,205;148,206;148,207;148,208;148,209;148,210;149,210;150,210;150,211;151,211;153,211;154,211;155,211;156,211;157,211;158,211;159,211;161,211;162,211;163,211;164,211;165,211;165,210;166,209;167,208;168,208;169,207;169,206;171,205;172,203;172,202;173,201;173,199;174,199;174,197;174,196;176,194;177,193;177,192;178,190;179,190;179,189;179,188;179,187;179,186;179,185;179,184;179,183;179,182;177,182;175,182;174,181;173,181;172,181;171,181;170,181;169,181;168,181;167,181;166,181;165,181;163,181;163,182;162,182;160,182;160,184;158,184;157,185;157,186;156,187;155,189;155,191;155,193;
Specular reflection; POLYGON; 191, 91, 22; 783,333;782,333;781,333;780,333;779,333;778,333;777,333;776,333;775,333;774,334;772,336;771,337;770,338;770,340;770,341;770,343;769,344;768,345;768,346;767,347;767,348;767,349;767,350;767,351;767,353;767,354;766,354;766,355;766,356;766,357;766,358;766,360;766,361;766,362;766,363;767,363;768,364;769,365;769,366;770,367;772,367;774,367;775,368;776,368;777,368;778,368;779,368;780,368;781,368;782,368;784,368;785,368;787,368;789,368;790,368;791,368;792,368;793,368;794,368;795,368;797,367;798,366;799,365;801,363;801,361;801,358;802,356;802,355;802,354;802,353;802,352;802,350;802,349;802,347;802,346;802,345;802,343;800,341;800,340;798,338;796,336;796,335;795,334;794,332;794,331;792,330;792,329;791,329;789,329;788,329;786,329;784,329;783,329;782,329;782,331;781,334;781,335;780,337;779,340;779,342;779,343;779,345;
Specular reflection; POLYGON; 191, 91, 22; 773,339;772,339;771,340;770,340;770,341;770,342;770,343;769,344;769,345;769,346;769,347;769,348;768,349;768,350;767,351;767,352;766,354;766,355;766,356;766,357;766,358;766,360;766,361;766,362;766,363;767,364;768,364;770,364;772,367;773,367;774,367;775,367;777,368;780,369;781,371;782,371;783,372;783,373;784,374;785,375;787,376;789,376;790,376;791,376;792,376;793,376;794,376;795,376;795,373;795,371;795,369;795,366;795,365;795,364;795,363;795,361;794,360;794,359;793,359;792,358;
Specular reflection; POLYGON; 191, 91, 22; 777,342;776,342;774,342;772,342;771,342;769,343;768,343;767,345;766,345;766,346;765,346;765,347;763,347;762,349;762,350;762,352;762,353;762,354;762,356;762,357;762,358;762,359;762,360;762,361;763,362;764,362;764,363;765,365;766,366;767,367;767,368;768,369;769,369;770,369;771,370;772,370;773,371;774,371;775,371;776,371;777,371;778,371;779,371;781,371;782,371;784,371;785,371;786,371;787,371;788,371;789,371;789,370;790,370;791,370;
Specular reflection; POLYGON; 191, 91, 22; 643,263;643,264;643,266;643,267;643,268;643,269;643,270;643,271;643,272;643,273;643,274;643,275;641,276;640,277;640,278;639,278;638,278;637,278;635,280;633,282;633,283;632,283;631,283;629,284;628,284;627,284;626,285;625,285;624,285;623,285;622,286;621,286;620,286;619,286;618,286;617,286;616,286;613,286;612,286;611,286;609,286;608,286;606,286;605,286;604,286;603,286;601,286;600,286;599,286;598,286;597,286;596,286;594,285;593,284;592,284;592,283;591,283;591,282;589,281;588,281;587,280;585,280;585,279;583,279;581,278;579,277;579,276;579,275;577,275;576,275;576,274;575,274;574,274;572,273;571,272;569,272;568,272;567,272;565,271;563,271;560,268;558,268;557,268;556,268;555,268;554,267;553,266;553,265;551,262;551,261;550,261;549,260;548,260;548,259;548,257;548,255;548,254;548,253;548,252;548,251;548,249;548,248;548,247;548,246;548,245;548,244;548,243;548,242;550,240;551,240;553,240;554,240;555,240;557,240;559,240;561,240;563,240;565,240;566,240;569,240;572,240;576,241;579,243;581,244;582,245;582,246;583,247;583,248;585,249;586,250;587,250;587,251;587,252;588,253;589,254;590,254;590,255;590,256;591,256;591,257;592,258;592,259;593,259;594,259;595,259;596,259;597,259;599,259;599,260;600,260;601,260;602,260;603,260;604,260;605,260;606,260;608,260;610,260;611,260;612,260;613,260;614,260;615,260;616,260;617,260;619,260;620,258;622,257;622,256;625,256;626,255;629,255;631,255;634,253;635,252;635,251;636,251;637,251;640,251;641,251;645,251;647,251;648,251;649,251;650,252;
Specular reflection; POLYGON; 191, 91, 22; 52,498;50,497;49,496;48,495;47,495;45,495;43,493;42,492;40,492;38,492;37,492;37,493;36,493;35,494;35,495;34,496;34,497;34,498;34,500;34,501;34,502;34,503;33,504;32,504;31,504;30,505;29,505;27,506;26,506;25,506;24,507;23,507;22,509;21,509;20,510;19,510;18,510;16,511;15,512;15,513;14,514;14,515;14,517;14,518;14,520;14,521;13,521;13,523;13,525;13,526;13,528;13,530;13,531;13,532;13,533;14,535;15,536;15,537;16,539;18,541;19,542;19,543;19,544;20,544;20,545;20,546;21,548;21,550;21,551;22,551;22,552;23,554;23,555;24,556;24,557;24,559;24,560;24,561;24,562;25,562;25,564;26,567;27,568;27,569;29,569;29,570;30,572;31,572;33,572;35,572;36,572;37,572;38,572;39,572;41,572;43,572;45,572;46,572;47,572;48,572;50,572;51,571;52,571;54,570;58,570;60,570;62,570;63,570;64,569;66,569;67,569;69,569;71,569;72,569;72,568;73,567;73,566;74,566;75,564;76,564;78,562;79,561;79,560;79,559;80,559;80,558;81,558;82,558;83,558;84,558;86,558;87,558;90,558;92,558;96,558;99,558;100,558;101,558;102,558;103,557;103,556;103,555;103,554;103,552;103,551;104,550;104,549;105,548;105,547;105,545;105,544;105,541;105,540;103,539;103,538;103,536;101,534;100,534;99,533;98,532;97,530;95,529;93,527;92,526;92,525;91,525;90,524;89,523;89,522;88,521;87,520;87,519;86,518;85,517;83,515;82,514;81,513;81,512;79,511;78,511;77,510;75,509;73,509;72,508;71,508;70,508;69,508;68,507;67,506;66,505;64,505;63,504;62,503;61,503;60,503;58,502;57,501;57,500;56,500;55,500;54,499;53,498;51,497;51,496;50,496;50,494;50,493;
Stroma; POLYGON; 128, 128, 128; 45,368;44,369;43,369;42,370;42,372;41,374;38,377;37,379;35,382;33,384;32,386;30,389;30,391;29,392;29,395;28,397;28,399;27,403;26,404;25,405;25,406;25,408;25,409;25,410;25,413;25,414;25,416;25,417;25,419;27,421;28,423;28,426;29,430;29,431;29,434;29,435;29,437;29,439;30,443;30,446;31,449;31,452;31,455;31,457;31,458;31,459;31,460;31,462;31,463;31,465;31,466;31,467;31,468;31,469;31,470;30,471;29,472;29,474;29,475;28,476;27,477;26,478;26,480;26,481;26,482;26,484;25,486;25,487;24,488;23,490;23,491;22,493;21,494;20,495;19,497;19,498;19,499;18,500;18,501;18,503;18,504;18,505;18,506;18,507;18,508;19,508;20,507;22,507;23,507;24,507;25,506;26,506;26,505;26,504;27,504;28,502;28,501;29,500;30,499;31,498;32,497;33,497;34,497;36,496;38,496;39,496;40,496;41,496;42,496;43,496;44,497;45,498;46,498;47,499;48,499;49,500;51,501;51,502;52,502;54,503;55,504;56,504;58,504;60,506;61,506;63,508;64,509;65,509;65,510;67,511;68,512;69,512;73,514;73,515;74,515;75,515;77,516;79,517;81,517;82,517;83,517;84,517;85,518;86,519;87,519;88,519;88,520;91,521;91,522;92,522;93,522;95,523;95,524;95,525;96,526;96,527;96,528;96,529;97,530;97,531;97,532;97,534;98,535;98,536;99,536;99,538;100,539;100,540;100,541;101,542;101,543;101,544;102,545;102,546;102,547;102,548;102,550;102,551;103,551;103,552;103,553;102,553;101,554;101,555;100,556;99,557;98,557;97,557;96,558;95,558;94,558;93,558;92,558;91,558;90,558;89,558;89,559;88,559;87,559;86,559;84,560;82,560;82,561;81,561;80,562;79,562;78,562;77,562;76,563;75,563;73,563;70,563;67,563;66,563;64,564;63,564;62,565;61,565;59,567;57,567;55,567;55,568;54,569;52,569;50,569;48,570;46,570;44,571;43,571;42,571;41,573;40,573;39,573;38,575;36,575;35,575;33,577;33,580;32,582;32,586;32,588;32,590;32,593;32,597;32,601;32,604;32,607;34,612;36,617;38,623;40,629;42,635;43,636;46,640;48,644;51,647;53,650;53,651;53,653;54,654;54,655;55,657;55,658;55,661;55,663;56,665;57,670;59,673;59,675;59,676;61,678;61,680;61,681;62,683;62,685;63,686;63,688;64,691;64,692;65,695;67,699;67,701;68,704;70,709;71,713;72,716;73,719;76,723;76,726;78,728;78,730;79,734;80,736;80,740;81,741;82,743;84,743;85,744;88,745;90,746;92,746;94,746;98,747;102,747;106,749;109,750;111,750;114,750;117,750;120,750;126,750;132,750;139,751;147,751;155,752;163,753;172,754;179,756;186,757;192,758;199,758;205,758;210,758;214,758;217,758;220,758;223,758;226,758;229,758;233,758;236,758;240,758;244,758;250,757;254,757;260,756;264,755;270,754;275,754;281,754;287,754;293,754;298,754;304,754;309,754;313,753;319,752;326,752;332,752;339,751;346,751;353,750;360,750;366,750;373,750;380,750;386,750;396,750;404,750;413,750;422,750;432,750;442,750;453,750;464,749;475,748;487,747;500,746;514,746;529,746;542,746;555,746;567,745;579,745;590,745;601,744;611,744;622,742;633,742;643,742;654,742;663,742;673,742;681,742;689,742;695,742;701,742;706,742;713,742;720,742;726,742;732,742;736,742;741,742;745,742;750,742;753,742;757,742;758,742;760,741;761,741;763,741;765,741;767,741;769,740;772,740;776,739;780,738;783,737;786,736;787,736;791,736;794,736;796,736;798,734;801,734;805,734;807,733;809,732;811,732;813,732;816,731;821,731;825,730;830,730;837,729;845,728;853,727;862,726;869,725;875,724;881,723;887,721;891,721;897,719;902,718;910,716;915,715;921,713;925,711;930,709;933,707;937,705;939,703;942,703;947,698;951,696;954,693;957,689;959,686;961,686;962,683;966,678;966,675;967,671;967,669;967,666;967,663;967,659;967,656;967,653;967,648;967,642;967,634;967,624;965,613;962,604;961,594;959,586;958,579;957,574;957,568;956,562;955,557;954,551;953,546;952,540;951,534;950,530;950,525;949,519;948,513;947,508;946,502;945,498;944,492;944,488;943,482;942,477;941,472;940,468;939,464;938,458;935,452;932,445;929,439;927,433;925,428;924,422;924,418;922,413;920,407;917,401;913,397;910,392;907,387;906,387;905,384;904,382;902,380;900,378;896,374;892,370;888,365;884,362;879,358;878,356;877,355;877,353;876,351;875,351;875,350;873,350;871,349;869,348;867,347;866,346;864,345;863,345;862,345;859,345;855,345;853,345;851,345;849,345;847,345;846,345;845,345;843,345;842,345;841,345;840,345;839,345;837,345;835,345;834,345;833,345;831,345;830,345;829,345;828,345;827,345;826,345;825,345;822,347;821,347;820,348;819,349;818,349;817,350;816,350;815,350;814,351;813,352;812,353;811,353;810,354;809,354;809,355;808,355;807,355;806,356;806,357;806,358;804,360;803,361;803,362;803,363;802,364;801,364;800,364;800,365;799,366;798,367;798,368;797,369;797,370;796,370;796,371;795,371;793,371;791,371;789,372;786,373;785,374;783,376;781,377;778,377;774,378;772,378;768,379;761,379;753,380;744,380;733,380;721,380;709,380;696,380;684,380;672,380;659,380;645,380;631,379;618,376;604,374;594,372;584,369;576,366;568,363;561,360;555,356;548,351;540,348;531,346;522,344;512,342;504,341;496,341;488,341;480,341;475,341;473,341;469,344;468,347;
